GeneID	GeneSymbol	Alias
1869	E2F1	E2F-1|RBAP1|RBBP3|RBP3
1870	E2F2	E2F-2
1871	E2F3	E2F-3
1894	ECT2	ARHGEF31
1910	EDNRB	ABCDS|ET-B|ET-BR|ETB|ETBR|ETRB|HSCR|HSCR2|WS4A
1915	EEF1A1	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1
1946	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS
1958	EGR1	AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225
1959	EGR2	AT591|CMT1D|CMT4E|KROX20
1969	EPHA2	ARCC2|CTPA|CTPP1|CTRCT6|ECK
2012	EMP1	CL-20|EMP-1|TMP
2013	EMP2	NPHS10|XMP
2034	EPAS1	ECYT4|HIF2A|HLF|MOP2|PASD2|bHLHe73
2035	EPB41	4.1R|EL1|HE
2041	EPHA1	EPH|EPHT|EPHT1
2042	EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4
2048	EPHB2	CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5
2049	EPHB3	ETK2|HEK2|TYRO6
2050	EPHB4	HTK|MYK1|TYRO11
2051	EPHB6	HEP
2066	ERBB4	ALS19|HER4|p180erbB4
2070	EYA4	CMD1J|DFNA10
2077	ERF	CRS4|PE-2|PE2
2099	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1
2100	ESR2	ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2
2103	ESRRB	DFNB35|ERR2|ERRb|ESRL2|NR3B2
2114	ETS2	ETS2IT1
2120	ETV6	TEL|TEL/ABL
2131	EXT1	EXT|LGCR|LGS|TRPS2|TTV
2132	EXT2	SOTV
2134	EXTL1	EXTL
2135	EXTL2	EXTR2
2137	EXTL3	BOTV|EXTL1L|EXTR1|REGR|RPR
2145	EZH1	KMT6B
2146	EZH2	ENX-1|ENX1|EZH1|EZH2b|KMT6|KMT6A|WVS|WVS2
2170	FABP3	FABP11|H-FABP|M-FABP|MDGI|O-FABP
2189	FANCG	FAG|XRCC9
2192	FBLN1	FBLN|FIBL1
2195	FAT1	CDHF7|CDHR8|FAT|ME5|hFat1
2203	FBP1	FBP
2262	GPC5	-
2271	FH	HLRCC|LRCC|MCL|MCUL1
2272	FHIT	AP3Aase|FRA3B
2273	FHL1	FHL-1|FHL1A|FHL1B|FLH1A|KYOT|SLIM|SLIM-1|SLIM1|SLIMMER|XMPMA
2296	FOXC1	ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3
2308	FOXO1	FKH1|FKHR|FOXO1A
2309	FOXO3	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A
2316	FLNA	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD
2322	FLT3	CD135|FLK-2|FLK2|STK1
2395	FXN	CyaY|FA|FARR|FRDA|X25
2444	FRK	GTK|PTK5|RAK
2521	FUS	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS
2587	GALR1	GALNR|GALNR1
2619	GAS1	-
2626	GATA4	ASD2|TACHD|TOF|VSD1
2633	GBP1	-
2697	GJA1	AVSD3|CMDR|CX43|GJAL|HLHS1|HSS|ODDD
2706	GJB2	CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK
2719	GPC3	DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1
2735	GLI1	GLI
2779	GNAT1	CSNBAD3|GBT1|GNATR
2810	SFN	YWHAS
2878	GPX3	GPx-P|GSHPx-3|GSHPx-P
2903	GRIN2A	EPND|FESD|GluN2A|LKS|NMDAR2A|NR2A
2932	GSK3B	-
2934	GSN	ADF|AGEL
2950	GSTP1	DFN7|FAEES3|GST3|GSTP|HEL-S-22|PI
2952	GSTT1	-
2972	BRF1	BRF|BRF-1|GTF3B|HEL-S-76p|TAF3B2|TAF3C|TAFIII90|TF3B90|TFIIIB90|hBRF
2984	GUCY2C	DIAR6|GUC2C|MECIL|MUCIL|STAR
3014	H2AFX	H2A.X|H2A/X|H2AX
3065	HDAC1	GON-10|HD1|RPD3|RPD3L1
3090	HIC1	ZBTB29|ZNF901|hic-1
3091	HIF1A	HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78
3094	HINT1	HINT|NMAN|PKCI-1|PRKCNH1
3096	HIVEP1	CIRIP|CRYBP1|GAAP|MBP-1|PRDII-BF1|Schnurri-1|ZAS1|ZNF40|ZNF40A
3104	ZBTB48	HKR3|ZNF855|pp9964
3164	NR4A1	GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3
3169	FOXA1	HNF3A|TCF3A
3170	FOXA2	HNF3B|TCF3B
3172	HNF4A	FRTS4|HNF4|HNF4a7|HNF4a8|HNF4a9|HNF4alpha|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14
3175	ONECUT1	HNF-6|HNF6|HNF6A
3248	HPGD	15-PGDH|PGDH|PGDH1|PHOAR1|SDR36C1
3273	HRG	HPRG|HRGP|THPH11
3329	HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13
3337	DNAJB1	HSPF1|Hdj1|Hsp40|RSPH16B|Sis1
3394	IRF8	H-ICSBP|ICSBP|ICSBP1|IMD32A|IMD32B|IRF-8
3400	ID4	IDB4|bHLHb27
3417	IDH1	HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD
3428	IFI16	IFNGIP1|PYHIN2
3479	IGF1	IGF-I|IGF1A|IGFI
3482	IGF2R	CD222|CIMPR|M6P-R|MPR1|MPRI
3483	IGFALS	ACLSD|ALS
3486	IGFBP3	BP-53|IBP3
3487	IGFBP4	BP-4|HT29-IGFBP|IBP4|IGFBP-4
3488	IGFBP5	IBP5
3490	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF
3579	CXCR2	CD182|CDw128b|CMKAR2|IL8R2|IL8RA|IL8RB
3605	IL17A	CTLA8|IL-17|IL-17A|IL17
3611	ILK	HEL-S-28|ILK-1|ILK-2|P59|p59ILK
3621	ING1	p24ING1c|p33|p33ING1|p33ING1b|p47|p47ING1a
3622	ING2	ING1L|p33ING2
3627	CXCL10	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1
3651	PDX1	GSF|IDX-1|IPF1|IUF1|MODY4|PAGEN1|PDX-1|STF-1
3659	IRF1	IRF-1|MAR
3661	IRF3	-
3662	IRF4	LSIRF|MUM1|NF-EM5|SHEP8
3663	IRF5	SLEB10
3678	ITGA5	CD49e|FNRA|VLA5A
3679	ITGA7	-
3685	ITGAV	CD51|MSK8|VNRA|VTNR
3688	ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB
3690	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT
3728	JUP	ARVD12|CTNNG|DP3|DPIII|PDGB|PKGB
3732	CD82	4F9|C33|GR15|IA4|KAI1|R2|SAR2|ST6|TSPAN27
3814	KISS1	HH13|KiSS-1
3880	KRT19	CK19|K19|K1CS
3963	LGALS7	GAL7|LGALS7A
3977	LIFR	CD118|LIF-R|SJS2|STWS|SWS
3996	LLGL1	DLG4|HUGL|HUGL-1|HUGL1|LLGL
4013	VWA5A	BCSC-1|BCSC1|LOH11CR2A
4015	LOX	-
4033	LRMP	JAW1
4045	LSAMP	IGLON3|LAMP
4057	LTF	GIG12|HEL110|HLF2|LF
4082	MARCKS	80K-L|MACS|PKCSL|PRKCSL
4087	SMAD2	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2
4089	SMAD4	DPC4|JIP|MADH4|MYHRS
4118	MAL	-
4144	MAT2A	MATA2|MATII|SAMS2
4149	MAX	bHLHd4
4163	MCC	MCC1
4216	MAP3K4	MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412
4221	MEN1	MEAI|SCG2
4292	MLH1	COCA2|FCC2|HNPCC|HNPCC2|hMLH1
4303	FOXO4	AFX|AFX1|MLLT7
4311	MME	CALLA|CD10|NEP|SFE
4335	MNT	MAD6|MXD6|ROX|bHLHd3
4436	MSH2	COCA1|FCC1|HNPCC|HNPCC1|LCFS2
4477	MSMB	HPC13|IGBF|MSP|MSPB|PN44|PRPS|PSP|PSP-94|PSP57|PSP94
4485	MST1	D3F15S2|DNF15S2|HGFL|MSP|NF15S2
4486	MST1R	CD136|CDw136|PTK8|RON
4494	MT1F	MT1
4495	MT1G	MT1|MT1K
4499	MT1M	MT-1M|MT-IM|MT1|MT1K
4502	MT2A	MT2
4507	MTAP	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus
4601	MXI1	MAD2|MXD2|MXI|bHLHc11
4616	GADD45B	GADD45BETA|MYD118
4627	MYH9	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA
4640	MYO1A	BBMI|DFNA48|MIHC|MYHL
4683	NBN	AT-V1|AT-V2|ATV|NBS|NBS1|P95
4692	NDN	HsT16328|PWCR
4734	NEDD4	NEDD4-1|RPF1
4763	NF1	NFNS|VRNF|WSS
4771	NF2	ACN|BANF|SCH
4773	NFATC2	NFAT1|NFATP
4790	NFKB1	EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50
4804	NGFR	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR
4814	NINJ1	NIN1|NINJURIN
4824	NKX3-1	BAPX2|NKX3|NKX3.1|NKX3A
4826	NNAT	Peg5
4830	NME1	AWD|GAAD|NB|NBS|NDKA|NDPK-A|NDPKA|NM23|NM23-H1
4849	CNOT3	LENG2|NOT3|NOT3H
4851	NOTCH1	AOS5|AOVD1|TAN1|hN1
4853	NOTCH2	AGS2|HJCYS|hN2
4854	NOTCH3	CADASIL|CASIL|IMF2
4856	NOV	CCN3|IBP-9|IGFBP-9|IGFBP9|NOVh
4862	NPAS2	MOP4|PASD4|bHLHe9
4869	NPM1	B23|NPM
4897	NRCAM	-
4899	NRF1	ALPHA-PAL
4916	NTRK3	TRKC|gp145(trkC)
4920	ROR2	BDB|BDB1|NTRKR2
4921	DDR2	MIG20a|NTRKR3|TKT|TYRO10
4928	NUP98	ADIR2|NUP196|NUP96
4978	OPCML	IGLON1|OBCAM|OPCM
5037	PEBP1	HCNP|HCNPpp|HEL-210|HEL-S-34|PBP|PEBP|PEBP-1|RKIP
5047	PAEP	GD|GdA|GdF|GdS|PAEG|PEP|PP14
5048	PAFAH1B1	LIS1|LIS2|MDCR|MDS|PAFAH
5071	PARK2	AR-JP|LPRS2|PDJ|PRKN
5074	PAWR	PAR4|Par-4
5078	PAX4	KPD|MODY9
5079	PAX5	ALL3|BSAP
5080	PAX6	AN|AN2|D11S812E|FVH1|MGDA|WAGR
5098	PCDHGC3	PC43|PCDH-GAMMA-C3|PCDH2
5100	PCDH8	ARCADLIN|PAPC
5101	PCDH9	-
5157	PDGFRL	PDGRL|PRLTS
5178	PEG3	PW1|ZKSCAN22|ZNF904|ZSCAN24
5196	PF4	CXCL4|PF-4|SCYB4
5216	PFN1	ALS18
5241	PGR	NR3C3|PR
5245	PHB	HEL-215|HEL-S-54e|PHB1
5268	SERPINB5	PI5|maspin
5276	SERPINI2	MEPI|PANCPIN|PI14|TSA2004
5300	PIN1	DOD|UBL5
5310	PKD1	PBP|Pc-1|TRPP1
5316	PKNOX1	PREP1|pkonx1c
5320	PLA2G2A	MOM1|PLA2|PLA2B|PLA2L|PLA2S|PLAS1|sPLA2
5325	PLAGL1	LOT1|ZAC|ZAC1
5331	PLCB3	-
5333	PLCD1	NDNC3|PLC-III
5337	PLD1	-
5347	PLK1	PLK|STPK13
5371	PML	MYL|PP8675|RNF71|TRIM19
5411	PNN	DRS|DRSP|SDK3|memA
5414	SEPT4	ARTS|BRADEION|CE5B3|H5|MART|PNUTL2|SEP4|hCDCREL-2
5465	PPARA	NR1C1|PPAR|PPARalpha|hPPAR
5468	PPARG	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma
5494	PPM1A	PP2C-ALPHA|PP2CA|PP2Calpha
5499	PPP1CA	PP-1A|PP1A|PP1alpha|PPP1A
5515	PPP2CA	PP2Ac|PP2CA|PP2Calpha|RP-C
5516	PPP2CB	PP2Abeta|PP2CB
5519	PPP2R1B	PP2A-Abeta|PR65B
5522	PPP2R2C	B55-GAMMA|IMYPNO|IMYPNO1|PR52|PR55G
5524	PPP2R4	PP2A|PR53|PTPA
5527	PPP2R5C	B56G|PR61G
5533	PPP3CC	CALNA3|CNA3|PP2Bgamma
5562	PRKAA1	AMPK|AMPKa1
5563	PRKAA2	AMPK|AMPK2|AMPKa2|PRKAA
5573	PRKAR1A	ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1
5579	PRKCB	PKC-beta|PKCB|PRKCB1|PRKCB2
5580	PRKCD	ALPS3|CVID9|MAY1|PKCD|nPKC-delta
5581	PRKCE	PKCE|nPKC-epsilon
5601	MAPK9	JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK
5602	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK
5625	PRODH	HSPOX2|PIG6|POX|PRODH1|PRODH2|TP53I6
5629	PROX1	-
5653	KLK6	Bssp|Klk7|PRSS18|PRSS9|SP59|hK6
5654	HTRA1	ARMD7|CARASIL|HtrA|L56|ORF480|PRSS11
5655	KLK10	NES1|PRSSL1
5727	PTCH1	BCNS|HPE7|NBCCS|PTC|PTC1|PTCH|PTCH11
5728	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1
5729	PTGDR	AS1|ASRT1|DP|DP1|PTGDR1
5770	PTPN1	PTP1B
5771	PTPN2	PTN2|PTPT|TC-PTP|TCELLPTP|TCPTP
5777	PTPN6	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1
5781	PTPN11	BPTP3|CFC|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2
5782	PTPN12	PTP-PEST|PTPG1
5783	PTPN13	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E
5788	PTPRC	B220|CD45|CD45R|GP180|L-CA|LCA|LY5|T200
5789	PTPRD	HPTP|HPTPD|HPTPDELTA|PTPD|RPTPDELTA
5795	PTPRJ	CD148|DEP1|HPTPeta|R-PTP-ETA|SCC1
5796	PTPRK	R-PTP-kappa
5887	RAD23B	HHR23B|HR23B|P58
5889	RAD51C	BROVCA3|FANCO|R51H3|RAD51L2
5906	RAP1A	C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21
5909	RAP1GAP	RAP1GA1|RAP1GAP1|RAP1GAPII|RAPGAP
5915	RARB	HAP|MCOPS12|NR1B2|RRB2
5920	RARRES3	HRASLS4|HRSL4|PLA1/2-3|RIG1|TIG3
5925	RB1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110
5927	KDM5A	RBBP-2|RBBP2|RBP2
5931	RBBP7	RbAp46
5932	RBBP8	COM1|CTIP|JWDS|RIM|SAE2|SCKL2
5933	RBL1	CP107|PRB1|p107
5934	RBL2	P130|Rb2
5936	RBM4	LARK|RBM4A|ZCCHC21|ZCRB3A
5947	RBP1	CRABP-I|CRBP|CRBP1|CRBPI|RBPC
6041	RNASEL	PRCA1|RNS4
6050	RNH1	RAI|RNH
6091	ROBO1	DUTT1|SAX3
6117	RPA1	HSSB|MST075|REPA1|RF-A|RP-A|RPA70
6125	RPL5	DBA6|L5|PPP1R135
6134	RPL10	AUTSX5|DXS648|DXS648E|L10|NOV|QM
6135	RPL11	DBA7|GIG34|L11
6196	RPS6KA2	HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|pp90RSK3
6273	S100A2	CAN19|S100L
6282	S100A11	HEL-S-43|MLN70|S100C
6288	SAA1	PIG4|SAA|SAA2|TP53I4
6294	SAFB	HAP|HET|SAF-B1|SAFB1
6297	SALL2	COLB|HSAL2|Sal-2|ZNF795|p150(Sal2)
6387	CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1
6389	SDHA	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF
6390	SDHB	CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP
6392	SDHD	CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS
6405	SEMA3F	SEMA-IV|SEMA4|SEMAK
6416	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1
6422	SFRP1	FRP|FRP-1|FRP1|FrzA|SARP2
6423	SFRP2	FRP-2|SARP1|SDF-5
6424	SFRP4	FRP-4|FRPHE|sFRP-4
6425	SFRP5	SARP3
6477	SIAH1	SIAH1A
6498	SKIL	SNO|SnoA|SnoI|SnoN
6502	SKP2	FBL1|FBXL1|FLB1|p45
6595	SMARCA2	BAF190|BRM|NCBRS|SNF2|SNF2L2|SNF2LA|SWI2|Sth1p|hBRM|hSNF2a
6596	HLTF	HIP116|HIP116A|HLTF1|RNF80|SMARCA3|SNF2L3|ZBU1
6597	SMARCA4	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b
6598	SMARCB1	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS
6599	SMARCC1	BAF155|CRACC1|Rsc8|SRG3|SWI3
6648	SOD2	IPOB|MNSOD|MVCD6
6656	SOX1	-
6664	SOX11	MRD27
6665	SOX15	SOX20|SOX26|SOX27
6672	SP100	lysp100b
6678	SPARC	ON
6688	SPI1	OF|PU.1|SFPI1|SPI-1|SPI-A
6711	SPTBN1	ELF|HEL102|SPTB2|betaSpII
6764	ST5	DENND2B|HTS1|p126
6767	ST13	AAG2|FAM10A1|FAM10A4|HIP|HOP|HSPABP|HSPABP1|P48|PRO0786|SNC6
6772	STAT1	CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91
6774	STAT3	ADMIO|APRF|HIES
6776	STAT5A	MGF|STAT5
6793	STK10	LOK|PRO2729
6794	STK11	LKB1|PJS|hLKB1
6850	SYK	p72-Syk
6876	TAGLN	SM22|SMCC|TAGLN1|WS3-10
6898	TAT	-
6910	TBX5	HOS
6924	TCEB3	EloA|SIII|SIII p110|TCEB3A
6925	TCF4	E2-2|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19
6929	TCF3	E2A|E47|ITF1|TCF-3|VDIR|bHLHb21
6934	TCF7L2	TCF-4|TCF4
6997	TDGF1	CR|CRGF|CRIPTO
7020	TFAP2A	AP-2|AP-2alpha|AP2TF|BOFS|TFAP2
7040	TGFB1	CED|DPD1|LAP|TGFB|TGFbeta
7044	LEFTY2	EBAF|LEFTA|LEFTYA|TGFB4
7045	TGFBI	BIGH3|CDB1|CDG2|CDGG1|CSD|CSD1|CSD2|CSD3|EBMD|LCD1
